BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
1,"","оя-0001","","Проблемы структурной лингвистики 1967","",,,"","",1968,"М.","","","","","","","","Наука","","","","","","","","","","",""
1,"","оя-0002","","Историко-филологические исследования. Сборник статей к 75-летию Н.И.Конрада","",,,"","",1967,"М","нет","","","","","","","","","","","","","","","","","",""
1,"","оя-0003","","Проблемы прикладной лингвистики. Тезисы межвузовской конференции. 16-19 дек. 1969 г. Часть I, II","",,,"","",1969,"М","","","","","","","","","","","","","","","","","","",""
1,"","оя-0004","","Вопросы социальной лингвистики","",,,"","",1969,"Л.","","","","","","","","Наука","","","","","","","","","","",""
1,"","оя-0005","","Спектральный анализ звуков речи и интанация","",,,"","",1969,"","нет","","","","","","","Изд. МГУ","","","","","","","","","","",""
1,"","оя-0006","","Языки Юго-Восточной Азии","",,,"","",1967,"М","","","","","","","","Наука","","","","","","","","","","",""
1,"","оя-0007","Иванов, Вяч. Вс.; Топоров, В. Н.","Славянские языковые моделирующие семиотические системы (древний период)","",,,"","",1965,"М.","нет","","","","","","","Наука","","","","","","","","","","",""
1,"","оя-0008","Гладкий, А. В.; Мельчук, И. А.","Элементы математической лингвистики","",,,"","",1969,"М.","нет","","","","","","","","","","","","","","","","","",""
1,"","оя-0009","Бабайцева, В. В.","Односоставные предложения в современном русском языке","",,,"","",1968,"М.","","","","","","","","Просвещение","","","","","","","","","","",""
9,"","оя-0010","Прядохин, М. Г.","Недоговорки-иносказания в современном китайском языке","",,,"","",1969,"","нет","","","","","","","","","","","","","","","","","",""
1,"","оя-0011","","Китайский язык. Вопросы синтаксиса","",,,"","",1963,"М.","","","","","","","","Изд. Восточной литературы","","","","","","","","","","",""
1,"","оя-0012","Шеворошкин, В. В.","Звуковые цепи в языках мира","",,,"","",1965,"М.","","","","","","","","Наука","","","","","","","","","","",""
1,"","оя-0013","","Лингвистическая типология и восточные языки. Материалы совещания","",,,"","",1965,"М.","нет","","","","","","","Наука","","","","","","","","","","",""
1,"","оя-0014","Скороходько, Э. Ф.","Вопросы теории английского словообразования и ее применение к машинному переводу","",,,"","",1964,"","нет","","","","","","","Изд. Киевского у-та","","","","","","","","","","",""
1,"","оя-0015","","Норма и социальная дифференциация языка","",,,"","",1969,"М.","нет","","","","","","","Наука","","","","","","","","","","",""
1,"","оя-0016","","Вопросы глагольного вида. Сб.","",,,"","",1962,"М.","","","","","","","Маслов, Ю.","Изд. Иностр. л-ры","","","","","","","","","","",""
1,"","оя-0017","Торсуев, Г. П.","Проблемы теоретической фонетики и фонологии","",,,"","",1969,"Л.","","","","","","","","Наука","","","","","","","","","","",""
1,"","оя-0018","Евдошенко, А. П.","Проблема структуры языка","",,,"","",1967,"Кишинев","нет","","","","","","","","","","","","","","","","","",""
1,"","оя-0019","Шаумян, С. К.","Проблемы теоретической фонологии","",,,"","",1962,"М.","нет","","","","","","","","","","","","","","","","","",""
1,"","оя-0020","","Языковые универсалии и лингвистическая типология","",,,"","",1969,"М.","нет","","","","","","","Наука","","","","","","","","","","",""
1,"","оя-0021","","Теоретические проблемы восточных литератур","",,,"","",1969,"М.","нет","","","","","","","Наука","","","","","","","","","","",""
1,"","оя-0022","Леонтьев, А. А.","Слово в речевой деятельности","",,,"","",1965,"М.","","","","","","","","Наука","","","","","","","","","","",""
1,"","оя-0023","Леонтьев, А. А.","Язык, речь, речевая деятельность","",,,"","",1969,"М.","","","","","","","","Просвещение","","","","","","","","","","",""
1,"","оя-0024","Москович, В. А.","Статистика и семантика","",,,"","",1969,"М.","","","","","","","","Наука","","","","","","","","","","",""
1,"","оя-0025","","Теория речевой деятельности (Проблемы психолингвистики)","",,,"","",1968,"М.","","","","","","","","Наука","","","","","","","","","","",""
1,"","оя-0026","","Семантические и фонологические проблемы прикладной лингвистики. Сборник статей","",,,"","",1968,"","нет","","","","","","","Изд. МГУ","","","","","","","","","","",""
1,"","оя-0027","","Исследования по речевой информации. Сборник статей","",,,"","",1968,"","нет","","","","","","","Изд. МГУ","","","","","","","","","","",""
1,"","оя-0028","","Ономастика","",,,"","",1969,"М.","нет","","","","","","","Наука","","","","","","","","","","",""
1,"","оя-0029","","Морфологическая структура слова в языках различных типов","",,,"","",1963,"М.-Л.","нет","","","","","","","","","","","","","","","","","",""
1,"","оя-0030","","Вопросы структуры языка","",,,"","",1964,"М.","","","","","","","","Наука","","","","","","","","","","",""
1,"","оя-0031","","Вопросы теории частей речи на материале языков различных типов","",,,"","",1968,"Л.","","","","","","","","Наука","","","","","","","","","","",""
1,"","оя-0032","Сидоров, В. Н.","Из русской исторической фонетики","",,,"","",1969,"М.","","","","","","","","Наука","","","","","","","","","","",""
1,"","оя-0033","","Топонимика Востока. Исследования и материалы","",,,"","",1969,"М.","","","","","","","","","","","","","","","","","","",""
1,"","оя-0034","Суперанская, А. В.","Структура имени собственного (фонология и морфология)","",,,"","",1969,"М.","","","","","","","","Наука","","","","","","","","","","",""
1,"","оя-0035","Матусевич, М. И.","Введение в общую фонетику","",,,"","",1948,"Л.","","","","","","","","","","","","","","","","","","",""
1,"","оя-0036","","Типология каузативных конструкций. Морфологический каузатив","",,,"","",1969,"Л.","нет","","","","","","","","","","","","","","","","","",""
1,"","оя-0037","","Развитие грамматики и лексики современного русского языка","",,,"","",1964,"М.","","","","","","","","Наука","","","","","","","","","","",""
1,"","оя-0038","","Прибалтийско-финское языкознание. Вопросы фонетики, грамматики и лексикологии","",,,"","",1967,"Л.","","","","","","","",""Наука"","","","","","","","","","","",""
1,"","оя-0039","","Вопросы китайской филологии","",,,"","",1963,"","нет","","","","","","","изд. МГУ","","","","","","","","","","",""
1,"","оя-0040","","Языки ЮВА (вопросы морфологии, фонетики и фонологии)","",,,"","",1970,"М.","нет","","","","","","","","","","","","","","","","","",""
1,"","оя-0041","","Новое в лингвистике, вып.V","",,,"","",1970,"М.","нет","","","","","","","","","","","","","","","","","",""
1,"","оя-0042","Леонтьев, А. А.","Языкознание и психология","",,,"","",1966,"М.","","","","","","","","","","","","","","","","","","",""
1,"","оя-0043","Будагов, Р. А.","Проблемы развития языка","",,,"","",1965,"М.-Л.","нет","","","","","","","","","","","","","","","","","",""
1,"","оя-0044","Панов, Д. Ю.","Автоматический перевод","",,,"","",1958,"М.","","","","","","","","","","","","","","","","","","",""
1,"","оя-0045","Успенский, Б. А.","Принципы структурной типологии","",,,"","",1962,"","","","","","","","","МГУ","","","","","","","","","","",""
1,"","оя-0046","","Исследование по общей теории грамматики","",,,"","",1968,"М.","","","","","","","","","","","","","","","","","","",""
1,"","оя-0047","Зиндер, Л. Р.; Строева, Т. В.","Историческая фонетика немецкого языка","",,,"","",1965,"М.-Л.","","","","","","","","","","","","","","","","","","",""
1,"","оя-0048","Vassilyev, V. A.","English Phonetics, a theoretical course","",,,"","",1970,"Moscow","нет","","","","","","","","","","","","","","","","","",""
1,"","оя-0049","","Филологические науки, №1","",,,"","",1970,"","нет","","","","","","","","","","","","","","","","","",""
1,"","оя-0050","","Известия сер.лит. и языка, том XXIX, вып.1","",,,"","",1970,"","нет","","","","","","","","","","","","","","","","","",""
1,"","оя-0051","","Вопросы языкознания, №1","",,,"","",1970,"","нет","","","","","","","","","","","","","","","","","",""
1,"","оя-0052","Рождественский, Ю. В.","Типология слова","",,,"","",1969,"М.","нет","","","","","","","","","","","","","","","","","",""
1,"","оя-0053","","Доклады, представленнные на XX междунар. синологич. конгрессе в Праге","",,,"","",1968,"М.","","","","","","","","","","","","","","","","","","",""
1,"","оя-0054","Ревзина, О. Г.","Структура словообразовательных полей в славянских языках","",,,"","",,"","нет","","","","","","","изд. МГУ","","","","","","","","","","",""
1,"","оя-0055","",""Машинный перевод", вып.11","",,,"","",1969,"","нет","","","","","","","изд. МГПИИЯ им М. Тореза","","","","","","","","","","",""
1,"","оя-0056","Городецкий, Б. Ю.",""К проблеме типологии семантики"","",,,"","",1969,"","нет","","","","","","","изд. МГУ","","","","","","","","","","",""
1,"","оя-0057","Степанова, М. Д.",""Методы синхронного аанализ лексики"","",,,"","",1968,"М.","нет","","","","","","","","","","","","","","","","","",""
1,"","оя-0058","","Общее языкознание","",,,"","",1970,"М.","нет","","","","","","п/ред Серебрякова","","","","","","","","","","","",""
1,"","оя-0059","Майтинская, К. Е.","Местоимения в языках различных типов","",,,"","",1969,"М.","","","","","","","","","","","","","","","","","","",""
1,"","оя-0060","","Экспериментально-фонетическое изучение русских говоров","",,,"","",1969,"М.","","","","","","","","","","","","","","","","","","",""
1,"","оя-0061","Катагощина, Н. А.","Особенности фонологической системы современных иберо-романских языков (португальского, каталанского и испанского)","",,,"","",1970,"М.","","","","","","","","","","","","","","","","","","",""
1,"","оя-0063","Мещанинов, И. И.","Эргативная конструкция в языках различных типов","",,,"","",1967,"Ленинград","2 экз.","","","","","","","Изд. Наука","","","","","","","","","","",""
1,"","оя-0064","Есперсен, О.","Философия грамматики","",,,"","",1958,"М-ва","нет","","","","","","","Изд. ин. лит-ры","","","","","","","","","","",""
1,"","оя-0065","","Исследования по речевой информации. Сборник статей, вып. 2","",,,"","",1968,"","","","","","","","под ред. В. А. Звегинцева","МГУ","","","","","","","","","","",""
1,"","оя-0066","Поливанов, Е. Д.","Статьи по общему языкознанию","",,,"","",1968,"М-ва","","","","","","","","Изд-во "Наука"","","","","","","","","","","",""
1,"","оя-0067","Атаян, Э. Р.","Предмет и основные понятия структурального синтаксиса","",,,"","",1968,"Ереван","","","","","","","","Изд-во "Митк"","","","","","","","","","","",""
1,"","оя-0068","Гальцев, И. Н.","Введение в изучение китайского языка","",,,"","",1962,"М.","","","","","","","","Изд-во лит-ры на ин. языках","","","","","","","","","","",""
1,"","оя-0069","Поцелуевский, Е. А.","Тюркский трехчлен","",,,"","",1967,"М.","","","","","","","","Изд-во "Наука"","","","","","","","","","","",""
1,"","оя-0070","Кононов, А. Н.","Тюркская филология в СССР. 1917-1967","",,,"","",1968,"М.","","","","","","","",""Наука"","","","","","","","","","","",""
1,"","оя-0071","Осипов, Ю. М.","Вопросы словообразования в современном тайском языке","",,,"","",1969,"М.","","","","","","","","Наука","","","","","","","","","","",""
1,"","оя-0072","","Инвариантные синтаксические значения и структура предложения (доклады на конференции по теоретическим проблемам синтаксиса)","",,,"","",1969,"М.","","","","","","","",""Наука"","","","","","","","","","","",""
1,"","оя-0073","Климов, Г. А.","Фонема и морфема","",,,"","",1967,"М.","","","","","","","","Наука","","","","","","","","","","",""
1,"","оя-0074","Ахманова, О. С.","Словарь лингвистических терминов","",,,"","",1966,"М.","","","","","","","",""Сов. энциклопедия"","","","","","","","","","","",""
1,"","оя-0075","","Материалы коллоквиума по экспериментальной фонетики и психологии речи","",,,"","",1966,"М.","","","","","","","","МГУ","","","","","","","","","","",""
1,"","оя-0076","","Советское языкознание за 50 лет","",,,"","",1967,"М.","нет","","","","","","","Изд. Наука","","","","","","","","","","",""
1,"","оя-0077","","Теоретические проблемы советского языкознания","",,,"","",1968,"М.","нет","","","","","","",""Наука"","","","","","","","","","","",""
1,"","оя-0078","Бадараев, Б.-Д.","Об основах транскрипции и транслитерации для тибетского языка","",,,"","",1967,"Улан-Уде","","","","","","","","","","","","","","","","","","",""
1,"","оя-0079","Эдельман, Д. И.","Язгулямский язык","",,,"","",1966,"М.","","","","","","","",""Наука"","","","","","","","","","","",""
1,"","оя-0080","","Японский лингвистический сборник","",,,"","",1959,"М.","","","","","","","","Изд. Восточной литературы","","","","","","","","","","",""
1,"","оя-0081","Бакая, Р. М.; Балин, В. И.","Тексты и беседы на хинди ( уч. пособие для развития навыков разговорной речи)","",,,"","",1968,"М-ва","","","","","","","",""Наука"","","","","","","","","","","",""
1,"","оя-0082","Дьяконов, И. М.; Лившиц, В. А.","Документы из Нисы I в. до н. э.. Предварительные итоги работы (XXV Межд. конгресс востоковедов)","",,,"","",1960,"М.","","","","","","","","Изд. вост. лит-ры","","","","","","","","","","",""
1,"","оя-0083","Пумпянский, А. Л.","Чтение английской научной лит-ры. Фонетика","",,,"","",1962,"М.","","","","","","","","Изд. АН СССР","","","","","","","","","","",""
1,"","оя-0084","Пумпянский, А. Л.","Английский литературный язык","",,,"","",1963,"М.","нет","","","","","","","","","","","","","","","","","",""
1,"","оя-0085","Ленiнi, В. I.","Розвиток нацiональних мов. (сб. статей)","",,,"","",1970,"Киiв","","","","","","","",""Наукова думка"","","","","","","","","","","",""
1,"","оя-0086","Бiлодiд, I. К.","Ленiнська теорiя нацiонально-мовного будiвництва в соцiалiстичному суспiльствi","",,,"","",1969,"Киiв","","","","","","","",""Наукова думка"","","","","","","","","","","",""
1,"","оя-0087","Кондратов, А. М.","Машинный перевод (электронно-выч. машины и дешифровка древних письмен)","",,,"","",1967,"М.","3 экз.","","","","","","","Изд-во "Знание"","","","","","","","","","","",""
1,"","оя-0088","Мельников, Г. П.","Азбука математической логики","",,,"","",1967,"М.","","","","","","","",""Знание"","","","","","","","","","","",""
1,"","оя-0089","","Вопросы общего языкознания","",,,"","",1964,"М.","нет","","","","","","",""Наука"","","","","","","","","","","",""
1,"","оя-0090","Мельников, Г. П.","Системный анализ причин своеобразия семитского консонантизма. (Методические разработки)","",,,"","",1968,"М.","нет","","","","","","","","","","","","","","","","","",""
1,"","оя-0091","Аганин, Р. А.","Карманный турецко-русский словарь","",,,"","",1968,"М.","","","","","","","под ред. В. Т. Щербинина",""Сов. энциклопедия"","","","","","","","","","","",""
1,"","оя-0092","","Современный Непал. Справочник","",,,"","",1967,"М.","","","","","","","","Изд. "Наука"","","","","","","","","","","",""
1,"","оя-0093","Шер, А. Я.","Что нужно знать о китайской письменности","",,,"","",1968,"М.","нет","","","","","","",""Наука"","","","","","","","","","","",""
1,"","оя-0094","Горелов, В. И.","Пособие по переводу с китайского языка на русский","",,,"","",1966,"М.","","","","","","","",""Наука"","","","","","","","","","","",""
1,"","оя-0095","","Germanistik","",,,"","",1967,"Berlin","нет","","","","","","","Akademie-Verlag.","","","","","","","","","","",""
1,"","оя-0096","Чикобава, А. С.","Введение в языкознание. ч. I","",,,"","",1952,"М.","","","","","","","","","","","","","","","","","","",""
1,"","оя-0097","Ломтев, Т. П.","Белорусский язык","",,,"","",1951,"М.","","","","","","","","МГУ","","","","","","","","","","",""
1,"","оя-0098","","Японский лингвистический сборник","",,,"","",1959,"М.","","","","","","","","Изд. вост. лит-ры","","","","","","","","","","",""
1,"","оя-0099","","Филология и история монгольских народов (сб. памяти Б. Я. Владимирцова)","",,,"","",1958,"М.","","","","","","","","Изд. вост. лит-ры","","","","","","","","","","",""
1,"","оя-0100","","Китай, Япония. История и филология. К семидесятилетию академика Н. И. Конрада","",,,"","",1961,"М-ва","","","","","","","","Изд. вост. лит-ры","","","","","","","","","","",""
1,"","оя-0101","","Труды Ин-та Языкознания. т. V","",,,"","",1954,"М.","","","","","","","","Изд-во АН СССР","","","","","","","","","","",""
1,"","оя-0102","","Труды Ин-та Языкознания. т. III","",,,"","",1954,"М.","","","","","","","","Изд-во АН СССР","","","","","","","","","","",""
1,"","оя-0103","Исаенко, Б.; Коротков, Н.; Советов-Чэнь, И.","Учебник китайского языка","",,,"","",1954,"М.","","","","","","","","Изд-во лит-ры на ин. языках","","","","","","","","","","",""
1,"","оя-0104","Линшайло; Ми-шен, Джан; Молодый, К. Т.","Учебник китайского языка. АВТ","",,,"","",1955,"М.","нет","","","","","","","внешторгиздат","","","","","","","","","","",""
1,"","оя-0105","","Труды VII международного конгресса антропологических и этнографических наук тт. I-VI","",,,"","",,"","нет","","","","","","","","","","","","","","","","","",""
1,"","оя-0106","Баранников, А. П.","Хиндустани (урду и хинди) ч. I-II","",,,"","",1934,"Л.","нет","","","","","","","Изд. Лен. Вост. Ин-та им. А. С. Енукидзе","","","","","","","","","","",""
1,"","оя-0107","Мерварт, А. М.","Грамматика тамильского разговорного языка","",,,"","",1929,"Л.","нет","","","","","","","Изд. Лен. Вост. Ин-та им. А. С. Енукидзе","","","","","","","","","","",""
1,"","оя-0108","","Повесть о браслете (Шилаппадикарам)","",,,"","",1966,"М.","","","","","","","","Изд. вост. лит-ры","","","","","","","","","","",""
1,"","оя-0109","","Корейско-русский военный словарь","",,,"","",1966,"М.","","","","","","","под. ред. Л. Б. Никольского","МО СССР","","","","","","","","","","",""
1,"","оя-0110","Королев, Н. И.","Русско-непальский разговорник","",,,"","",1965,"М.","","","","","","","","Изд. "Наука"","","","","","","","","","","",""
1,"","оя-0111","","Арабская филология. Сборник статей","",,,"","",1968,"М.","нет","","","","","","","Изд. МГУ","","","","","","","","","","",""
1,"","оя-0112","","Языковая ситуация в странах Азии и Африки. Сб. статей","",,,"","",1967,"М.","нет","","","","","","","Изд-во "Наука"","","","","","","","","","","",""
1,"","оя-0113","Рубинчик, Ю. А.","Сложные предложения с придаточными определительными в современном персидском языке","",,,"","",1959,"М.","","","","","","","","Изд. вост. лит-ры","","","","","","","","","","",""
1,"","оя-0114","Елизаренкова, Т. Я.","Аорист в "Ригведе"","",,,"","",1960,"М.","","","","","","","","Изд. вост. лит-ры","","","","","","","","","","",""
1,"","оя-0115","Солнцева, Н. В.","Страдательный залог в китайском языке","",,,"","",1962,"М.","","","","","","","","Изд. вост. лит-ры","","","","","","","","","","",""
1,"","оя-0116","Солнцев, В. М.","Очерки по современному китайскому языку","",,,"","",1957,"М.","нет","","","","","","","Изд-во ИМО","","","","","","","","","","",""
1,"","оя-0117","Огибенин, Б. Л.","Структура мифологических текстов "Ригведы". (Ведийская космогония)","",,,"","",1968,"М.","3 экз.","","","","","","","Изд-во "Наука"","","","","","","","","","","",""
1,"","оя-0118","Smirnov, U. A.","The composite sentence (complex and compound sentences). Main problems (on the illustratie basis of panjabi)","",,,"","",1966,"Chandigarh","","","","","","","","Publication bureau panjab University","","","","","","","","","","",""
1,"","оя-0119","Сердюченко, Г. П.","Русская транскрипция для языков Зарубежного Востока","",,,"","",1967,"М.","","","","","","","","Изд. "Наука"","","","","","","","","","","",""
1,"","оя-0120","Софронов, М. В.","Грамматика тангутского языка. кн. I-II","",,,"","",1968,"М.","нет","","","","","","","Изд. "Наука"","","","","","","","","","","",""
1,"","оя-0121","Шеворошкин, В. В.","Исследования по дешивровке карийских надписей","",,,"","",1965,"М.","нет","","","","","","","Изд. "Наука"","","","","","","","","","","",""
1,"","оя-0122","Попова, К. А. (пер. и ком.)","Идзумо-Фудоки","",,,"","",1966,"М.","2 экз.","","","","","","","Изд-во Наука","","","","","","","","","","",""
1,"","оя-0123","Константинова, В. М. (изд. перевод и ком.)","Оросиякоку суймудан (сны о России)","",,,"","",1961,"М.","","","","","","","под ред. Н. И. Конрада","Изд. вост. лит-ры","","","","","","","","","","",""
1,"","оя-0124","Попова, К. А. (пер. ком. и пред.)","Древние фудоки (хитати, харима, бунго, хидзэн)","",,,"","",1969,"М.","","","","","","","","Изд. "Наука"","","","","","","","","","","",""
1,"","оя-0125","Zvelebil, K.; Glasov, Y.; Andronov, M.","Introduction to the historical grammar of the tamil language. Part I. Preliminary textual analysis","",,,"","",1967,"М.","","","","","","","","Изд. Наука","","","","","","","","","","",""
1,"","оя-0126","Солнцев, В. М.","Типологические свойства изолирующих языков (на примере китайского и вьетнамского) (XXVI МКВ)","",,,"","",1963,"М.","","","","","","","","","","","","","","","","","","",""
1,"","оя-0127","","Бенгальский язык. Вопросы грамматики","",,,"","",1962,"М.","3 экз.","","","","","","","Изд. вост. лит-ры","","","","","","","","","","",""
1,"","оя-0128","Морев, Л. Н.","Основы синтаксиса тайского языка","",,,"","",1964,"М.","","","","","","","","Изд. "Наука"","","","","","","","","","","",""
1,"","оя-0129","Коростовцев, М. А.","Введение в египетскую филологию","",,,"","",1963,"М.","","","","","","","","Изд. вост. лит-ры","","","","","","","","","","",""
1,"","оя-0130","Чернышев, В. А.","Синтаксис простого предложения в хинди","",,,"","",1965,"М.","","","","","","","","Изд-во Наука","","","","","","","","","","",""
1,"","оя-0131","Горгониев, Ю. А.","Категория глагола в современном кхмерском языке","",,,"","",1963,"М.","нет","","","","","","","ИВЛ","","","","","","","","","","",""
1,"","оя-0132","Тодаева, Б. Х.","Баоаньский язык","",,,"","",1964,"М.","","","","","","","","Изд. "Наука"","","","","","","","","","","",""
1,"","оя-0133","Вардуль, И. Ф.","Очерки потенциального синтаксиса японского языка","",,,"","",1964,"М.","нет","","","","","","","Изд. Наука","","","","","","","","","","",""
1,"","оя-0134","","Языки Индии, Пакистана, Непала и Цейлона. Материалы научной конференции 18-20 января 1965г.","",,,"","",1968,"М.","нет","","","","","","","Изд. Наука","","","","","","","","","","",""
1,"","оя-0135","Горгониев, Ю. А.","Грамматика кхмерского языка","",,,"","",1966,"М.","нет","","","","","","","Изд. Наука","","","","","","","","","","",""
1,"","оя-0136","Коротков, Н. Н.","Основные особенности морфологического строя китайского языка","",,,"","",1968,"М.","нет","","","","","","","Изд. "Наука"","","","","","","","","","","",""
1,"","оя-0137","","Корейский язык. Сб. статей","",,,"","",1961,"","2 экз.","","","","","","","ИВЛ","","","","","","","","","","",""
1,"","оя-0138","Сыромятников, Н. А.","Становление новояпонского языка","",,,"","",1965,"М.","","","","","","","","Изд. Наука","","","","","","","","","","",""
1,"","оя-0139","Быкова, Е. М.","Подлежащее и сказуемое в современном бенгальском языке","",,,"","",1960,"М.","","","","","","","","ИВЛ","","","","","","","","","","",""
1,"","оя-0140","Калинина, З. М.","Сложноподчиненные предложения в современном литературном пушту","",,,"","",1966,"М.","2 экз.","","","","","","","Изд. Наука","","","","","","","","","","",""
1,"","оя-0141","","Японский язык (сб. статей)","",,,"","",1963,"М.","","","","","","","","ИВЛ","","","","","","","","","","",""
1,"","оя-0142","Чернышев, В. А.","Диалекты и литературный хинди","",,,"","",1969,"М.","","","","","","","","Изд. Наука","","","","","","","","","","",""
1,"","оя-0143","","Исследования по японскому языку. Сб. статей","",,,"","",1967,"М.","","","","","","","","Изд. Наука","","","","","","","","","","",""
1,"","оя-0144","","Труды VII МКАЭН т.7, т.8","",,,"","",1964,"М.","","","","","","","","","","","","","","","","","","",""
1,"","оя-0145","Солнцев, В. М.","Из кн. Ленинизм и теоретические проблемы языкознания. "Знаковость языка и м.-л. теория познания" Отд. оттиск","",,,"","",1970,"М.","","","","","","","","","","","","","","","","","","",""
1,"","оя-0146","","Ученые записки, серия филол.наук. Вып. 14","",,,"","",1949,"Л.","","","","","","","","ЛГУ","","","","","","","","","","",""
1,"","оя-0147","Омельянович, Н. В.","Самоучитель бирманского языка","",,,"","",1971,"М.","","","","","","","","ИМО","","","","","","","","","","",""
1,"","оя-0148","Москалев, А. А.","Грамматика языка чжуан","",,,"","",1971,"М.","нет","","","","","","","","","","","","","","","","","",""
1,"","оя-0149","Сова, А. З.","Аналитическая лингвистика","",,,"","",1970,"М.","","","","","","","","","","","","","","","","","","",""
1,"","оя-0150","","Пражский лингв. кружок","",,,"","",1967,"М.","","","","","","","","","","","","","","","","","","",""
1,"","оя-0151","Реформатский, А. А.","Из истории отечественной фонологии","",,,"","",1970,"М.","нет","","","","","","","","","","","","","","","","","",""
